epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,465.797,0.54689,1.88514,1.01907,0.71975,0.78739,0.83141,0.67943,0.5808,0.82832,1.04257,0.000100773,0.000100773,0.000100773
2,897.741,0.55675,0.91478,1.00605,0.81846,0.85016,0.85533,0.75626,0.5117,0.6634,0.96033,0.000195115,0.000195115,0.000195115
3,1326.94,0.56829,0.84038,1.01298,0.83547,0.84639,0.88168,0.77938,0.49842,0.59317,0.9548,0.00028279,0.00028279,0.00028279
4,1754.68,0.55053,0.75763,1.00518,0.88735,0.89589,0.91472,0.82693,0.44397,0.49031,0.92241,0.000273003,0.000273003,0.000273003
5,2182.38,0.50612,0.64778,0.97979,0.80788,0.96098,0.96731,0.88893,0.42461,0.42048,0.90207,0.000263004,0.000263004,0.000263004
6,2610.46,0.48841,0.60446,0.97342,0.94109,0.90825,0.97136,0.90303,0.39831,0.35935,0.89373,0.000253005,0.000253005,0.000253005
7,3037.92,0.46977,0.54561,0.96456,0.92436,0.97317,0.98867,0.91769,0.39415,0.31749,0.88575,0.000243006,0.000243006,0.000243006
8,3465.58,0.45086,0.51765,0.95532,0.9387,0.92603,0.98117,0.9126,0.39093,0.3255,0.89837,0.000233007,0.000233007,0.000233007
9,3892.66,0.44065,0.48069,0.95123,0.96844,0.95948,0.99073,0.93492,0.35753,0.27594,0.86864,0.000223008,0.000223008,0.000223008
10,4320.19,0.42529,0.46631,0.94289,0.94753,0.96885,0.98011,0.93353,0.33875,0.28228,0.86646,0.000213009,0.000213009,0.000213009
11,4747.62,0.40876,0.42464,0.92816,0.95181,0.95822,0.97607,0.92083,0.33622,0.27248,0.85854,0.00020301,0.00020301,0.00020301
12,5174.29,0.39678,0.40548,0.92593,0.95839,0.98534,0.99227,0.94861,0.32726,0.24142,0.85293,0.000193011,0.000193011,0.000193011
13,5601.54,0.38813,0.38651,0.92179,0.96666,0.98643,0.99199,0.95219,0.32219,0.23244,0.8475,0.000183012,0.000183012,0.000183012
14,6028.62,0.37848,0.37956,0.91712,0.96696,0.99425,0.99467,0.94826,0.32642,0.22211,0.85574,0.000173013,0.000173013,0.000173013
15,6455.99,0.37486,0.35846,0.91657,0.97103,0.98386,0.99433,0.95506,0.30858,0.21063,0.84505,0.000163014,0.000163014,0.000163014
16,6882.78,0.36804,0.35574,0.91464,0.96362,0.99458,0.99429,0.9503,0.29715,0.21134,0.83973,0.000153015,0.000153015,0.000153015
17,7310.23,0.35223,0.33554,0.90407,0.97381,0.98756,0.99243,0.9538,0.30312,0.22432,0.84731,0.000143016,0.000143016,0.000143016
18,7736.95,0.35563,0.32329,0.90687,0.96743,0.9933,0.99253,0.95825,0.29269,0.20892,0.83697,0.000133017,0.000133017,0.000133017
19,8163.76,0.34591,0.31442,0.90327,0.97229,0.99883,0.99472,0.9573,0.28828,0.19178,0.83185,0.000123018,0.000123018,0.000123018
20,8591.48,0.33552,0.30156,0.89599,0.97074,0.99932,0.99497,0.9572,0.27904,0.18125,0.82777,0.000113019,0.000113019,0.000113019
21,9018.35,0.27134,0.19681,0.83506,0.97564,0.99727,0.99414,0.96203,0.27904,0.17649,0.83854,0.00010302,0.00010302,0.00010302
22,9444.35,0.26265,0.18675,0.83241,0.97822,0.99852,0.99443,0.96357,0.27398,0.17425,0.82692,9.3021e-05,9.3021e-05,9.3021e-05
23,9869.82,0.25812,0.17993,0.82566,0.98254,0.99889,0.99484,0.96303,0.27745,0.17865,0.82863,8.3022e-05,8.3022e-05,8.3022e-05
24,10294.8,0.24917,0.17226,0.82527,0.9834,0.99945,0.99487,0.96736,0.26754,0.1687,0.82317,7.3023e-05,7.3023e-05,7.3023e-05
25,10720.5,0.24473,0.1652,0.82359,0.9787,0.9982,0.99442,0.96812,0.26349,0.16135,0.82096,6.3024e-05,6.3024e-05,6.3024e-05
26,11146.2,0.2389,0.15792,0.8197,0.98389,1,0.99499,0.96299,0.26573,0.15793,0.82586,5.3025e-05,5.3025e-05,5.3025e-05
27,11571.7,0.23401,0.15406,0.81911,0.97967,0.99863,0.99482,0.96633,0.25941,0.15422,0.8194,4.3026e-05,4.3026e-05,4.3026e-05
28,11997.1,0.22762,0.14754,0.81342,0.98557,0.9983,0.99487,0.96606,0.25548,0.14721,0.8167,3.3027e-05,3.3027e-05,3.3027e-05
29,12422.3,0.22421,0.14223,0.81501,0.98282,0.99957,0.99485,0.97043,0.24859,0.14308,0.8122,2.3028e-05,2.3028e-05,2.3028e-05
30,12852,0.21909,0.13778,0.80993,0.98451,0.99949,0.99485,0.97032,0.24729,0.14028,0.81423,1.3029e-05,1.3029e-05,1.3029e-05
